stargate_id,solar_system_id,destination_stargate_id,destination_system_id,type_id,planet_id,lagrange_point,x,y,z
50000001,30000004,50000002,30000005,79881,40000032,5,71343527167.4974,-931004441400.646,-4719704518903.49
50000002,30000005,50000001,30000004,79881,40000043,4,-119931338417.475,57310877563.9669,197228271874.929
50000003,30000006,50000004,30000007,79881,40000057,5,56684174778.4732,-7130896346.59488,-184655498811.934
50000004,30000007,50000003,30000006,79787,40000063,3,-176604284141.192,6676683296.01985,187846222584.882
50000005,30000004,50000006,30000006,79787,40000032,4,4116995438483.56,805999265657.684,2355458269169.56
50000006,30000006,50000005,30000004,79881,40000057,3,-188333969200.348,5578971128.62435,43136871941.4675
50000007,30014100,50000008,30014167,79787,40148892,4,-2120870230357.46,149362018824.016,374395626509.12
50000008,30014167,50000007,30014100,79881,40149625,3,-2101966424854.29,204432709451.357,-1460844972249.78
50000009,30014171,50000010,30014186,79881,40149691,5,3774106556245.87,-36270785004.133,-2695966426351.7
50000010,30014186,50000009,30014171,79881,40149870,3,-453171402375.164,72500518502.0332,461398092613.9
50000011,30014182,50000012,30014186,79787,40149825,3,-126956210237.804,-9848557875.53649,24870595878.7106
50000012,30014186,50000011,30014182,79787,40149870,5,-177107129614.844,-62215898418.6688,-623114027771.025
50000013,30014241,50000014,30014244,79787,40150518,2,-613172327756.64,-342435757515.425,2386431001275.57
50000014,30014244,50000013,30014241,79881,40150562,3,-967955747354.265,94535652939.6308,-1339260585540.2
50000015,30014148,50000016,30014263,79787,40149436,3,510354062922.437,-18206915043.9223,35769988392.3516
50000016,30014263,50000015,30014148,79881,40150797,3,-934125197074.771,-167201636764.599,1567153952325.49
50000017,30014148,50000018,30014258,79881,40149436,2,-512786082425.108,18293677500.9834,-35940445170.6955
50000018,30014258,50000017,30014148,79881,40150723,2,-311869678490.788,36687154191.5646,-33112729438.0966
50000019,30014174,50000020,30014185,79881,40149718,3,17068514277.704,-4548732515.33458,2836060796.35166
50000020,30014185,50000019,30014174,79881,40149859,3,-3639014671542.48,-25120210664.8144,1378843967217.24
50000021,30014170,50000022,30014183,79787,40149675,4,-822734610443.619,86896101017.1228,487383172226.473
50000022,30014183,50000021,30014170,79787,40149842,4,-3674293742823.07,610543198226.41,-267017307113.782
50000023,30014092,50000024,30014106,79881,40148744,4,1134827487485.49,-398651480784.005,2905624096471.21
50000024,30014106,50000023,30014092,79881,40148946,3,-3366602530342.72,309896556797.624,-3191522362784.35
50000025,30014184,50000026,30014189,79881,40149845,5,307542619815.163,5476439571.917,167363175033.079
50000026,30014189,50000025,30014184,79787,40149912,3,-3432072184938.66,276744868723.493,735708301182.792
50000027,30014148,50000028,30014261,79881,40149436,5,-286960556974.586,-14256983323.543,423701109903.895
50000028,30014261,50000027,30014148,79881,40150783,4,-125822601041.31,1465132396.9424,17945098699.8564
