solar_system_id,star_id,radius,age,luminosity,mass,metallicity,temperature,spectral_class
30000001,40000001,4294967295.0,13278596096.0,0.0,Inf,0.00988564267754555,2.00091407720941e-41,O0
30000002,40000002,4294967295.0,12174411776.0,0.0,Inf,0.0252800844609737,1.00048506457399e-40,O0
30000003,40000003,4294967295.0,7829240320.0,0.0,Inf,0.0368509143590927,4.00196828426525e-41,O0
30000004,40000004,1110158441.0,8348127744.0,1.84491303445229e+27,4.1266939749282e+30,0.00428421795368195,6135.99365234375,G0
30000005,40000037,507508878.0,10207594496.0,4.44610204842995e+25,1.10022850353212e+30,0.0044069210998714,3938.87231445313,M0
30000006,40000046,607578477.0,7618604032.0,3.37435147506948e+26,1.88123893546918e+30,9.99999974737875e-05,5743.68359375,G5
30000007,40000060,992741315.0,6823899648.0,2.0039627803172e+27,4.13307045416376e+30,0.00653191423043609,8038.12353515625,A9
30000008,40000069,852006937.0,10735207424.0,4.64158745270111e+26,2.5312730596255e+30,0.00605380209162831,5472.6767578125,G8
30000009,40000095,965458329.0,5814327296.0,1.96956078321135e+27,4.03070073137898e+30,0.00695595657452941,7784.5341796875,F0
30000010,40000101,928113754.0,6275811840.0,1.34226109938869e+27,3.16274458116883e+30,0.00837531499564648,6634.90380859375,F7
30000011,40000108,878941467.0,11598948352.0,7.78577226113505e+26,2.92743321500994e+30,0.00560792582109571,5744.25634765625,G5
30000012,40000111,160033956.0,11186106368.0,4.38809923046304e+23,2.93966784653589e+29,0.00478746835142374,2210.54370117188,M0
30000013,40000113,621177375.0,11551651840.0,3.72105175804187e+26,1.92193515645059e+30,0.0033937874250114,6057.080078125,G1
30000014,40000136,136182136.0,6713414656.0,2.99689208942804e+23,2.57511192105394e+29,0.0040308702737093,2130.46606445313,M1
30000015,40000145,592818527.0,7058246144.0,1.16130490415231e+26,1.42195743849666e+30,0.00475847395136952,4854.3818359375,K3
30000016,40000177,863301720.0,11160716288.0,5.3845890998508e+26,2.64433966029369e+30,0.00565933575853705,5307.06787109375,G9
30000017,40000195,585527005.0,10148352000.0,1.92777957196719e+26,1.61868079918781e+30,0.00564720295369625,5783.22265625,G4
30000018,40000201,192369040.0,11360896000.0,1.08984207061326e+24,4.06772144007945e+29,0.00496409414336085,2470.81274414063,M9
30000019,40000207,495907293.0,7811751936.0,6.28360620637945e+25,1.20845214736693e+30,0.0220889635384083,4482.8828125,K6
30000020,40000242,488891792.0,12406657024.0,3.83387651813211e+25,1.0560262465581e+30,0.00315852137282491,3515.63208007813,M3
30000021,40000251,558894983.0,10997943296.0,8.84816710706993e+25,1.31764436745685e+30,0.00767070660367608,4647.0185546875,K5
30000022,40000264,183981313.0,13106766848.0,1.24281104732615e+24,4.25859684879181e+29,0.00847089663147926,2512.01049804688,M9
30000023,40000273,1020972948.0,11742206976.0,2.08853844556401e+27,4.51806648183551e+30,0.00573430443182588,7198.1064453125,F3
30000024,40000291,251991612.0,11803361280.0,4.03712297492055e+24,5.08918064400371e+29,0.00375204905867577,3335.11401367188,M4
30000025,40000299,395522165.0,11860645888.0,1.81859578410535e+25,8.79671170307262e+29,0.00455328309908509,3302.82739257813,M4
30000026,40000301,106615657.0,12123024384.0,9.6239149819537e+22,1.70887709231626e+29,0.00228029186837375,1725.13024902344,M2
30000027,40000304,495094823.0,11717576704.0,4.91465349841959e+25,1.12801143225559e+30,0.00850995536893606,4252.466796875,K8
30000028,40000311,1021762112.0,12523302912.0,1.82598136237037e+27,4.36438662272028e+30,0.00663075363263488,6544.79052734375,F7
30000029,40000328,317960733.0,12105268224.0,8.13874671987708e+24,6.90135931423808e+29,0.00941270031034946,2949.06127929688,M6
30000030,40000336,657036912.0,13349086208.0,1.65069324284528e+26,1.54951981532066e+30,0.00837505329400301,4793.52978515625,K3
30000031,40000338,95132635.0,12267399168.0,1.05963646394129e+23,1.76849338016396e+29,0.00643725320696831,2138.64794921875,M1
30000032,40000347,529857150.0,13502751744.0,6.31674762678228e+25,1.20327190022988e+30,0.00733363069593906,3923.74853515625,M0
30000033,40000356,457923928.0,11239362560.0,3.57131386402177e+25,1.03755166885634e+30,0.0104844989255071,4005.05737304688,K9
30000034,40000365,185044301.0,11478998016.0,1.17416156131344e+24,4.17711864865365e+29,0.00947030913084745,2626.53344726563,M8
30000035,40000367,179055177.0,11793422336.0,7.8090911534889e+23,3.61019439670264e+29,0.00678970525041223,2259.60229492188,M0
30000036,40000373,219369144.0,13052316672.0,3.87116136548427e+24,4.99264262825702e+29,0.00712959142401814,3020.87133789063,M6
30000037,40000376,317764646.0,12477385728.0,1.29127416041838e+25,8.43283938736273e+29,0.00462282635271549,3724.4541015625,M1
30000038,40000378,778912310.0,13566986240.0,2.31397267379442e+26,2.16995248408936e+30,0.00687389634549618,4482.92822265625,K6
30000039,40000383,161771434.0,12650872832.0,7.21895386983708e+23,3.50847575602959e+29,0.00959374941885471,2655.55078125,M8
30000040,40000385,734308764.0,12120954880.0,3.8454359397216e+26,1.93767506839052e+30,0.00537254987284541,5584.79345703125,G6
30000041,40000387,606080424.0,12488167424.0,1.26688595066283e+26,1.44627377243239e+30,0.00777865434065461,4530.9267578125,K5
30000042,40000407,461280743.0,13433051136.0,5.45180608377634e+25,1.15759618935534e+30,0.00964798871427774,4727.822265625,K4
30000043,40000423,708558031.0,12781204480.0,3.07637881997012e+26,1.82617402665873e+30,0.00527423433959484,4930.35302734375,K2
30000044,40000441,517704997.0,12119786496.0,3.50308512230064e+25,1.03149457271075e+30,0.00843362137675285,3416.78540039063,M3
30000045,40000446,634202102.0,11667972096.0,2.59208685549611e+26,1.7473253157361e+30,0.00609482172876596,5979.73828125,G2
30000046,40000459,245858180.0,12089646080.0,4.66330260241901e+24,5.41728197807916e+29,0.00867645535618067,3406.73681640625,M3
30000047,40000467,438058025.0,13439253504.0,2.29611096820901e+25,9.3470147361612e+29,0.00815554521977901,3471.33862304688,M3
30000048,40000476,747392470.0,13186705408.0,5.04784489358987e+26,2.65447861891134e+30,0.00474479887634516,5528.71044921875,G7
30000049,40000492,175185514.0,11467082752.0,1.05092441259172e+24,4.01496165057555e+29,0.00677036354318261,2802.42041015625,M7
30000050,40000497,476239333.0,12733531136.0,2.20196639573872e+25,9.24730026782348e+29,0.00510563654825091,3226.76147460938,M4
30000051,40000509,544558217.0,11805224960.0,6.40771128882135e+25,1.20947950764001e+30,0.00901984516531229,4570.94189453125,K5
30000052,40000514,509551385.0,11931976704.0,4.45551957244818e+25,1.09906438352569e+30,0.0066093229688704,3911.17919921875,M0
30000053,40000516,1282424957.0,12142668800.0,3.63138973515813e+27,5.46152428072096e+30,0.00812096148729324,7058.833984375,F4
30000054,40000537,525554902.0,12102326272.0,5.19301624999767e+25,1.14410329272476e+30,0.00477458536624908,3960.8251953125,M0
30000055,40000539,624200760.0,12924459008.0,1.80495819844538e+26,1.58690962418543e+30,0.00693380460143089,5236.9775390625,K0
30000056,40000556,553368134.0,11636997120.0,8.25152377207546e+25,1.29290264274834e+30,0.00525396084412932,4375.91015625,K7
30000057,40000566,520562081.0,12521583616.0,5.40783780810805e+25,1.15596701069768e+30,0.00910226535052061,4442.83154296875,K6
30000058,40000569,593426951.0,12101942272.0,8.62108676518536e+25,1.30736713794857e+30,0.00463926140218973,4568.85009765625,K5
30000059,40000588,293666547.0,10991502336.0,6.23909755640195e+24,6.15348266781784e+29,0.00676668528467417,3228.9482421875,M4
30000060,40000595,1407273607.0,12784894976.0,6.383969499095e+27,6.64613437086277e+30,0.00749549083411694,8140.2236328125,A8
30000061,40000608,526002584.0,11061351424.0,5.00619961640279e+25,1.13417876732436e+30,0.00516812922433019,3654.84326171875,M2
30000062,40000624,570841758.0,12487794688.0,1.84367330257007e+26,1.59636176182182e+30,0.00430625397711992,5339.8056640625,G9
30000063,40000653,112574849.0,12769471488.0,2.04582155983197e+23,2.23622205740638e+29,0.00731028337031603,2346.24169921875,M0
30000064,40000664,629382056.0,13435812864.0,1.82637726639168e+26,1.59120901774716e+30,0.00471939845010638,4989.26220703125,K2
30000065,40000682,638787165.0,12447211520.0,2.58304518388838e+26,1.74455566668336e+30,0.00399537896737456,5051.5966796875,K1
30000066,40000693,706594345.0,5821998592.0,2.54191521649699e+26,2.02688412247152e+30,0.00523068010807037,5450.8466796875,G8
30000067,40000698,175647466.0,12310842368.0,7.12821822684858e+23,3.49336191654849e+29,0.00701145129278302,2193.083984375,M0
30000068,40000708,306831940.0,6750708736.0,1.03199225974154e+25,7.69226503068228e+29,0.00346321472898126,3607.73071289063,M2
30000069,40000721,512612218.0,12723129344.0,8.83951373942495e+25,1.31532534550337e+30,9.99999974737875e-05,4348.73583984375,K7
30000070,40000723,194262142.0,11599542272.0,9.61735485859249e+23,3.88945739440158e+29,0.00519417459145188,2230.52783203125,M0
30000071,40000727,1200530426.0,12400957440.0,3.52673117342524e+27,5.42666188239783e+30,0.00867327582091093,7530.595703125,F1
30000072,40000738,180955471.0,13506528256.0,9.71587560404085e+23,3.8992750054248e+29,0.0051715369336307,2390.94018554688,M0
30000073,40000747,1194323825.0,12059905024.0,2.45463754596524e+27,4.78795282420392e+30,0.00653589703142643,6459.04345703125,F8
30000074,40000762,1073701953.0,13644260352.0,2.65958456197297e+27,5.0172138188671e+30,0.00448987353593111,7717.158203125,F0
30000075,40000784,326689799.0,13269968896.0,1.00812540109037e+25,7.56822017464617e+29,0.00577833084389567,3290.52856445313,M4
30000076,40000794,532867202.0,10974866432.0,5.12518111567821e+25,1.14130387387371e+30,0.00759585667401552,4015.53344726563,K9
30000077,40000802,746698236.0,12283933696.0,3.58400351762065e+26,2.40384034009565e+30,0.00988712999969721,5758.25,G4
30000078,40000811,521224623.0,11238709248.0,3.37689832479002e+25,1.0223806320724e+30,0.00666344678029418,3951.55444335938,M0
30000079,40000815,1442154936.0,11981702144.0,6.39863303732012e+27,6.58271835360616e+30,0.0101112304255366,7376.99755859375,F2
30000080,40000821,496348189.0,13589843968.0,3.85476514995258e+25,1.05654714247062e+30,0.00540574267506599,4100.83349609375,K9
30000081,40000835,538563834.0,11378919424.0,6.29120442026341e+25,1.20411059251724e+30,0.00784506928175688,4456.609375,K6
30000082,40000843,472393238.0,12729188352.0,4.29173877168394e+25,1.08756047209983e+30,0.00746704451739788,4311.63330078125,K7
30000083,40000861,753875109.0,11480066048.0,2.51671364367837e+26,2.17205707282558e+30,0.0087351119145751,4669.58837890625,K4
30000084,40000866,249916702.0,12584537088.0,5.06005257988297e+24,5.61104143044994e+29,0.00296339672058821,3374.076171875,M3
30000085,40000869,437070782.0,11012992000.0,3.04723379443715e+25,9.95322303262059e+29,0.0034971977584064,3952.6455078125,M0
