solar_system_id,security,security_class,frost_line,luminosity,center_x,center_y,center_z,min_x,min_y,min_z,max_x,max_y,max_z,habitable_zone_inner,habitable_zone_outer,remnant_dust_mass,remnant_gas_mass,potential,system_radius
30000001,0.0,D1,0.0,0.0,-5.10379714337743e+18,-4.42889163297007e+17,1.33560112425765e+18,-5.10379715196737e+18,-4.42889163297007e+17,1.33560111566772e+18,-5.1037971347875e+18,-4.42889163297007e+17,1.33560113284758e+18,0.0,1.0,0.0,0.0,1.0,8589934592.0
30000002,0.0,D1,0.0,0.0,-1.1002922203353e+19,-1.74975576457177e+17,-6.58058592349874e+18,-1.10029222119429e+19,-1.74975576457177e+17,-6.58058593208868e+18,-1.10029221947631e+19,-1.74975576457177e+17,-6.58058591490881e+18,0.0,1.0,0.0,0.0,0.740974605083466,8589934592.0
30000003,0.0,D1,0.0,0.0,-1.74156536802379e+19,-6.84175378701082e+17,-2.37376021813923e+18,-1.74156536888278e+19,-6.84175378701082e+17,-2.37376022672916e+18,-1.74156536716479e+19,-6.84175378701082e+17,-2.37376020954929e+18,0.0,1.0,0.0,0.0,0.78622829914093,8589934592.0
30000004,0.0,D1,886729539584.0,1.84491303445229e+27,1.75974469978204e+16,-4.25348862016878e+15,7.56601057135694e+19,1.75886152875325e+16,-4.25348862016878e+15,7.56600968818591e+19,1.76062787081084e+16,-4.25348862016878e+15,7.56601145452797e+19,313013796864.0,450943254528.0,2.42232912518455e+25,3.16988543208804e+28,0.0700327679514885,8831710003200.0
30000005,0.0,D1,137655304192.0,4.44610204842995e+25,1.25847317930854e+16,-4.25348862016878e+15,7.56456055770439e+19,1.25758043468642e+16,-4.25348862016878e+15,7.56455966495977e+19,1.25936592393066e+16,-4.25348862016878e+15,7.56456145044901e+19,48592351232.0,70004555776.0,9.04667298121572e+24,1.01512013527598e+28,0.192117601633072,8927446040576.0
30000006,0.0,D1,379226226688.0,3.37435147506948e+26,-2.0262829021752e+16,-4.25348862016878e+15,7.56906244328085e+19,-2.02739196474999e+16,-4.25348862016878e+15,7.56906133421828e+19,-2.02517383960042e+16,-4.25348862016878e+15,7.56906355234343e+19,133838102528.0,192813826048.0,1.93793610137605e+24,1.31702248845945e+29,0.820348620414734,11090625822720.0
30000007,0.0,D1,924161867776.0,2.0039627803172e+27,-2.46356043881271e+16,-4.25348862016878e+15,7.57255074768567e+19,-2.46467811562529e+16,-4.25348862016878e+15,7.57254963000885e+19,-2.46244276200012e+16,-4.25348862016878e+15,7.57255186536248e+19,326264029184.0,470032187392.0,9.61169536868764e+25,4.86404881103529e+28,0.297296732664108,11176768438272.0
30000008,0.0,D1,444771008512.0,4.64158745270111e+26,1.55331031150629e+16,-4.25348862016878e+15,7.56962785525856e+19,1.55227388477815e+16,-4.25348862016878e+15,7.56962681883183e+19,1.55434673823443e+16,-4.25348862016878e+15,7.56962889168528e+19,157017194496.0,226206793728.0,1.47035307662724e+25,2.62294661288185e+28,0.979389250278473,10364267790336.0
30000009,0.0,D1,916194983936.0,1.96956078321135e+27,-1.1722753697052e+16,-4.25348862016878e+15,7.57118598405248e+19,-1.17330587242893e+16,-4.25348862016878e+15,7.57118495354976e+19,-1.17124486698148e+16,-4.25348862016878e+15,7.57118701455521e+19,323458269184.0,465990057984.0,3.2049531795662e+26,9.51073748207036e+28,0.887645721435547,10305027440640.0
30000010,0.0,D1,756348092416.0,1.34226109938869e+27,-6.02921806852707e+15,-4.25348862016878e+15,7.5679891188486e+19,-6.0458571447772e+15,-4.25348862016878e+15,7.56798745494098e+19,-6.01257899227694e+15,-4.25348862016878e+15,7.56799078275623e+19,267044044800.0,384716931072.0,3.51978154706291e+26,9.0428813009329e+28,0.367588251829147,16639076597760.0
30000011,0.0,D1,576041910272.0,7.78577226113505e+26,1.62434449559154e+16,-4.25348862016878e+15,7.56803140327111e+19,1.62327361269739e+16,-4.25348862016878e+15,7.56803033238821e+19,1.62541537848569e+16,-4.25348862016878e+15,7.568032474154e+19,203355127808.0,292963516416.0,5.73975385580884e+26,1.41103904384627e+29,0.441220909357071,10708828815360.0
30000012,0.0,D1,13675443200.0,4.38809923046304e+23,-5.6574451866114e+18,-1.76766595858289e+18,1.95010061528283e+18,-5.65745621848643e+18,-1.76766595858289e+18,1.95008958340779e+18,-5.65743415473636e+18,-1.76766595858289e+18,1.95011164715787e+18,4827526656.0,6954775040.0,4.40328572869451e+23,3.52308683466604e+26,0.900381326675415,11031875158016.0
