id,name,constellation_id,region_id,center_x,center_y,center_z,position_x,position_y,position_z,security_class,security_status,star_class,hidden,planet_count
30000001,A 2560,20000001,10000001,-5.10379714337743e+18,-4.42889163297007e+17,1.33560112425765e+18,-539.47178372424,141.173150226455,46.8134214985401,,,,0,0
30000002,M 974,20000002,10000002,-1.1002922203353e+19,-1.74975576457177e+17,-6.58058592349874e+18,-1163.00979456521,-695.568480950881,18.4949330249174,,,,0,0
30000003,U 3183,20000003,10000003,-1.74156536802379e+19,-6.84175378701082e+17,-2.37376021813923e+18,-1840.83604650953,-250.906653034761,72.3173945906151,,,,0,0
30000004,O3H-1FN,20000004,10000004,1.75974469978204e+16,-4.25348862016878e+15,7.56601057135694e+19,1.86005161534002,7997.27948416334,0.449594101903261,,,,1,8
30000005,I9T-0FN,20000004,10000004,1.25847317930854e+16,-4.25348862016878e+15,7.56456055770439e+19,1.33020720012674,7995.74681852325,0.449594101903261,,,,1,4
30000006,OFC-3FN,20000004,10000004,-2.0262829021752e+16,-4.25348862016878e+15,7.56906244328085e+19,-2.14178271756901,8000.50531533226,0.449594101903261,,,,1,3
30000007,UR7-5FN,20000004,10000004,-2.46356043881271e+16,-4.25348862016878e+15,7.57255074768567e+19,-2.60398543849508,8004.19245599747,0.449594101903261,,,,1,3
30000008,O71-4FN,20000004,10000004,1.55331031150629e+16,-4.25348862016878e+15,7.56962785525856e+19,1.64185029476119,8001.10295626425,0.449594101903261,,,,1,7
30000009,U2L-4FN,20000004,10000004,-1.1722753697052e+16,-4.25348862016878e+15,7.57118598405248e+19,-1.23909604348491,8002.74989969895,0.449594101903261,,,,1,1
30000010,UT4-2FN,20000004,10000004,-6.02921806852707e+15,-4.25348862016878e+15,7.5679891188486e+19,-0.63728885269494,7999.37081051219,0.449594101903261,,,,1,3
30000011,OMP-2FN,20000004,10000004,1.62434449559154e+16,-4.25348862016878e+15,7.56803140327111e+19,1.71693348658355,7999.41550518204,0.449594101903261,,,,1,2
30000012,E06-D68,20000005,10000005,-5.6574451866114e+18,-1.76766595858289e+18,1.95010061528283e+18,-597.992428069679,206.125797678587,186.842439249904,,,,0,1
30000013,O8B-FS7,20000005,10000005,-5.90530042090196e+18,-1.8636470395457e+18,1.85334861034232e+18,-624.190747005928,195.89910268702,196.987647512731,,,,0,7
30000014,A33-1H8,20000005,10000005,-5.70110608658985e+18,-1.29471529922419e+18,2.30225245133286e+18,-602.607388838828,243.348276119405,136.85151511044,,,,0,3
30000015,I9D-919,20000005,10000005,-6.57452365050224e+18,-2.2259028323986e+18,3.01505552743617e+18,-694.927698189543,318.691620713055,235.278115030308,,,,0,8
30000016,O60-F49,20000005,10000005,-6.23938734359139e+18,-2.08614891368605e+18,2.99843475197925e+18,-659.503762597873,316.934803361046,220.50611416657,,,,0,3
30000017,O7H-D19,20000005,10000005,-6.36266132088953e+18,-1.80273715242547e+18,2.99894102792515e+18,-672.53383227964,316.988316770752,190.549467364089,,,,0,2
30000018,EVQ-3Q9,20000005,10000005,-5.37158740688938e+18,-1.67574225525236e+18,3.23018228630961e+18,-567.77723691182,341.43053706808,177.126096141203,,,,0,2
30000019,I9T-MV8,20000005,10000005,-5.92478299275879e+18,-2.01677781247558e+18,2.67351189414437e+18,-626.25005647609,282.590430188532,213.173582982902,,,,0,9
30000020,E8P-V58,20000005,10000005,-5.94370551927948e+18,-1.61785427262119e+18,2.13763065061958e+18,-628.250169107512,225.947738054147,171.007331549089,,,,0,5
30000021,IQ1-VS8,20000005,10000005,-5.69577214860363e+18,-2.006116796547e+18,2.48617104911183e+18,-602.043591148821,262.788487243906,212.046712710097,,,,0,3
30000022,E4R-HL8,20000005,10000005,-6.49855667804594e+18,-2.285326006097e+18,2.66679257553511e+18,-686.897982865079,281.880197651126,241.559149446267,,,,0,3
30000023,UGC-3C8,20000005,10000005,-5.79756541974423e+18,-2.09302257183895e+18,2.10956599531537e+18,-612.803148398192,222.981301647831,221.232660406611,,,,0,7
30000024,E04-M88,20000005,10000005,-5.70494434336356e+18,-2.10094615857116e+18,1.98222692901368e+18,-603.01309289993,209.521551719351,222.070184185053,,,,0,3
30000025,E07-3N7,20000005,10000005,-6.42815977164396e+18,-1.8515513479877e+18,2.03853250175057e+18,-679.457023987115,215.473055453664,195.70913190624,,,,0,1
30000026,AHR-HK7,20000005,10000005,-6.31322097880999e+18,-1.77440361322092e+18,1.92874888829044e+18,-667.307983998385,203.868918354704,187.55460990708,,,,0,2
30000027,I8T-0L8,20000005,10000005,-5.84734180724771e+18,-1.96546376695928e+18,2.36758095539039e+18,-618.064516708783,250.253504446844,207.749684092112,,,,0,5
30000028,OM5-JM8,20000006,10000005,-4.42253714535917e+18,2.91719410246252e+17,1.61920068211904e+18,-467.462545114949,171.149647145305,-30.8347659931458,,,,0,3
30000029,E2M-6Q8,20000006,10000005,-4.32423291545284e+18,5.82684452868944e+17,1.60248075277777e+18,-457.071779815035,169.38234921945,-61.5897952655651,,,,0,3
30000030,I27-BL8,20000006,10000005,-4.58666330083733e+18,6.36675200655855e+17,1.6789412170223e+18,-484.810693437515,177.464226667088,-67.2966218096028,,,,0,1
30000031,A9G-2V8,20000006,10000005,-4.592915362743e+18,1.45470173549954e+17,1.98339909095912e+18,-485.471536902382,209.645449334745,-15.3762094768007,,,,0,4
30000032,I82-6Q8,20000006,10000005,-4.53681934516725e+18,1.20723994396386e+17,1.80041386792083e+18,-479.542183166079,190.30389599818,-12.7605362763763,,,,0,5
30000033,IQH-0B8,20000006,10000005,-4.81834477904022e+18,9.82871419524799e+16,1.62981240519885e+18,-509.299445006366,172.271307159885,-10.3889591017667,,,,0,4
30000034,EV2-NB9,20000006,10000005,-4.43491430373602e+18,2.45567695264036e+17,2.30773759974971e+18,-468.770811787667,243.92805676454,-25.9565258703588,,,,0,1
30000035,ERJ-P29,20000006,10000005,-4.55248613340334e+18,4.50888881137996e+17,2.07279751441652e+18,-481.198163989283,219.094870150241,-47.6589923415287,,,,0,4
30000036,ELS-5C8,20000006,10000005,-4.84483568515709e+18,-7.08661150257092e+16,1.68881168189502e+18,-512.099535992326,178.507535627355,7.4905542686259,,,,0,2
30000037,EHP-6K8,20000006,10000005,-4.68092817168644e+18,5.37220732442931e+17,1.72857942392824e+18,-494.774498148189,182.710989276994,-56.7842762247493,,,,0,1
30000038,IMN-759,20000006,10000005,-4.52211111643281e+18,8.84095045215039e+16,2.16828946477596e+18,-477.987522162147,229.188377267497,-9.34489200149327,,,,0,1
30000039,E2J-7P8,20000006,10000005,-4.54944756132508e+18,5.52158223069538e+17,1.75549450994893e+18,-480.876986667186,185.555916114165,-58.3631702298052,,,,0,1
30000040,O63-D59,20000006,10000005,-4.40195069916431e+18,1.51202654236732e+17,2.08428589889522e+18,-465.286556035191,220.309193347799,-15.9821331634962,,,,0,1
30000041,I4T-8J8,20000006,10000005,-4.62468474098724e+18,1.50260425814109e+16,1.68225084383582e+18,-488.829562832443,177.814054497308,-1.58825395406407,,,,0,4
30000042,IPF-V09,20000006,10000005,-4.65849590105734e+18,2.32188401491291e+17,2.09478983758819e+18,-492.403405271787,221.4194605437,-24.5423334027137,,,,0,4
30000043,INL-3B8,20000006,10000005,-4.85772851959027e+18,-1.80582983420376e+17,1.66615423617741e+18,-513.462309667207,176.112641725317,19.0876364085991,,,,0,7
30000044,EM9-K49,20000006,10000005,-4.5671694839729e+18,4.16226788186426e+17,2.16042286816368e+18,-482.750195369113,228.356877349486,-43.9952062256439,,,,0,2
30000045,O0D-P59,20000006,10000005,-4.3241365035557e+18,7.380037396282e+16,2.03446867518218e+18,-457.061589069466,215.043508646452,-7.80070568300292,,,,0,3
30000046,E7L-RD8,20000006,10000005,-4.73784115001575e+18,1.01517306496884e+15,1.65536597978785e+18,-500.790204704279,174.972322125174,-0.107303877635139,,,,0,5
30000047,ELT-QC9,20000006,10000005,-4.35624433398914e+18,3.90973050407469e+17,2.28688754309263e+18,-460.455389424152,241.724204036941,-41.3258840361843,,,,0,3
30000048,OC7-TF8,20000006,10000005,-4.59705507746932e+18,2.37616148387606e+17,1.58036427062508e+18,-485.909105094216,167.044635211341,-25.1160467023417,,,,0,3
30000049,ETM-1H8,20000006,10000005,-4.58357066077633e+18,2.29742403526765e+17,1.59870356533231e+18,-484.483801125133,168.983100191438,-24.283791213861,,,,0,4
30000050,E1D-FG9,20000006,10000005,-4.25125611725941e+18,2.93027506981391e+17,2.31879787896977e+18,-449.358126159544,245.097129200555,-30.9730319271484,,,,0,3
30000051,I6P-M77,20000007,10000005,-5.97265508414854e+18,-1.22121544022362e+18,1.53360950599239e+18,-631.310140528637,162.102652690204,129.082573884011,,,,0,2
30000052,ICT-JF7,20000007,10000005,-6.0101086601054e+18,-1.39767762812823e+18,1.69796263153156e+18,-635.268986630997,179.474791767149,147.734641862909,,,,0,1
30000053,UHK-6L6,20000007,10000005,-5.9581168582855e+18,-9.35751219174754e+17,1.07411740590569e+18,-629.773448842389,113.534299388267,98.9089819107266,,,,0,5
30000054,ID6-0Q7,20000007,10000005,-5.65512047060537e+18,-5.94092393581181e+17,1.79592915295195e+18,-597.746705393955,189.829861251933,62.7956155502988,,,,0,1
30000055,OPG-6K7,20000007,10000005,-5.77936745906709e+18,-9.84215779044609e+17,1.71765079117566e+18,-610.879622436864,181.555831883571,104.031689931034,,,,0,6
30000056,ITK-FQ6,20000007,10000005,-5.8189285090757e+18,-7.7831034089171e+17,1.13957098985897e+18,-615.061228722263,120.452748671119,82.267467945252,,,,0,3
30000057,I43-KK7,20000007,10000005,-5.75809280622888e+18,-1.11558168885169e+18,1.70021449012578e+18,-608.630889857506,179.712813408368,117.917077553882,,,,0,2
30000058,IGC-HP7,20000007,10000005,-5.62990497272015e+18,-1.0565425797121e+18,1.72874077227928e+18,-595.081425164453,182.728043811155,111.67663879382,,,,0,6
30000059,ENT-497,20000007,10000005,-5.68546943026372e+18,-1.09525095063084e+18,1.40545877447985e+18,-600.954592961021,148.557109681242,115.768116828305,,,,0,2
30000060,UC7-GJ7,20000007,10000005,-5.67801222328748e+18,-4.71872783502989e+17,1.66803416735395e+18,-600.166365561683,176.311350607469,49.8769925716176,,,,0,5
30000061,E66-JC7,20000007,10000005,-5.98999709502953e+18,-1.42156727198071e+18,1.62327317801574e+18,-633.143192525124,171.580110301242,150.25977921057,,,,0,4
30000062,OL8-8Q7,20000007,10000005,-5.77109075730299e+18,-8.38229936131152e+17,1.85995414106434e+18,-610.004774370101,196.597307835255,88.6009741595028,,,,0,6
30000063,E6G-7C7,20000007,10000005,-5.7196548074441e+18,-4.96902271561876e+17,1.53614022891829e+18,-604.567990180132,162.37015031454,52.5226115469629,,,,0,9
30000064,IF8-147,20000007,10000005,-5.76110018098957e+18,-1.05429184310902e+18,1.31481858569234e+18,-608.948769620534,138.976434166787,111.438735747158,,,,0,8
30000065,O4R-4P7,20000007,10000005,-5.63632795235561e+18,-8.09851220545198e+17,1.74428661592619e+18,-595.760334647613,184.371240781196,85.6013415552128,,,,0,5
30000066,OLP-7R6,20000007,10000005,-5.83625569541287e+18,-7.24862117218801e+17,1.1751591159133e+18,-616.892713763231,124.214416563198,76.6179862453121,,,,0,2
